,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
5528,WXPC        ,31.28183333333330,-81.42361111111110,91.5,0.01,26.0,GA ,"FREQUENCY ZERO, INC.                                                        "
5529,WJGS        ,33.503972222222200,-82.7701111111111,91.5,0.01,70.0,GA ,THE POWER FOUNDATION                                                        
5530,WGPH        ,32.23297222222220,-82.48069444444450,91.5,0.01,184.0,GA ,"AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC                                     "
5531,KLHT-FM     ,21.395833333333300,-158.09944444444400,91.5,0.01,564.0,HI ,"CALVARY CHAPEL OF HONOLULU, INC.                                            "
5532,K218CE,42.0225,-92.99936111111110,91.5,0.01,0.0,IA ,CSN INTERNATIONAL                                                           
5533,KNSM        ,43.157444444444400,-93.13658333333330,91.5,0.01,113.0,IA ,"IOWA PUBLIC RADIO, INC.                                                     "
5534,K218EA,41.01475,-92.40908333333330,91.5,0.01,0.0,IA ,247 MEDIA MINISTRIES
5535,KBSX        ,43.75577777777780,-116.09916666666700,91.5,0.01,853.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              
5536,KBSX        ,43.75552777777780,-116.09936111111100,91.5,0.01,774.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              
5537,KBSX        ,43.755722222222200,-116.09927777777800,91.5,0.01,827.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              
5538,KBSX        ,43.73986111111110,-116.13769444444400,91.5,0.01,521.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              
5539,K218EZ,42.86269444444440,-112.51830555555600,91.5,0.01,0.0,ID ,EDUCATIONAL MEDIA FOUNDATION                                                
5540,KBYR-FM     ,43.81713888888890,-111.7791388888890,91.5,0.01,14.0,ID ,BRIGHAM YOUNG UNIVERSITY - IDAHO                                            
5541,K218FA,45.183527777777800,-113.87144444444400,91.5,0.01,0.0,ID ,"HI-LINE RADIO FELLOWSHIP, INC.                                              "
5542,WLHW        ,39.303916666666700,-87.97086111111110,91.5,0.01,60.0,IL ,"AMERICAN HOPE COMMUNICATIONS, INC.                                          "
5543,WBEZ        ,41.898916666666700,-87.6231111111111,91.5,0.01,425.1,IL ,CHICAGO PUBLIC MEDIA INC.                                                   
5544,WBEZ        ,41.898916666666700,-87.6231111111111,91.5,0.01,358.0,IL ,CHICAGO PUBLIC MEDIA INC.                                                   
5545,WBEZ        ,41.898916666666700,-87.6231111111111,91.5,0.01,377.0,IL ,CHICAGO PUBLIC MEDIA INC.                                                   
5546,WBEZ        ,41.93833333333330,-87.75138888888890,91.5,0.01,128.0,IL ,CHICAGO PUBLIC MEDIA INC.                                                   
5547,WCIC        ,40.557805555555600,-89.56788888888890,91.5,0.01,154.0,IL ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
5548,WNIQ        ,41.89780555555560,-89.60566666666670,91.5,0.01,100.0,IL ,NORTHERN ILLINOIS UNIVERSITY                                                
5549,WFWR        ,40.27975,-87.24722222222220,91.5,0.01,52.0,IN ,FOUNTAIN WARREN COMMUNITY RADIO CORP                                        
5550,WJCY        ,40.19822222222220,-86.12897222222220,91.5,0.01,59.0,IN ,"CALVARY RADIO NETWORK, INC.                                                 "
5551,WJCY        ,40.19808333333330,-86.12888888888890,91.5,0.01,58.9,IN ,"CALVARY RADIO NETWORK, INC.                                                 "
5552,WJHS        ,41.15186111111110,-85.4948888888889,91.5,0.01,52.0,IN ,COLUMBIA CITY HIGH SCHOOL                                                   
