Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
11075,KHYI-FM1,33.1027166666667,-96.6703138888889,95.3,0.01,0.0,TX ,"METRO BROADCASTERS - TEXAS, INC.                                            "
26621,KHYY        ,41.7011111111111,-103.680833333333,107.3,0.01,172.9,NE ,NEBRASKA RURAL RADIO ASSOCIATION                                            
3579,KIAO        ,64.0568333333333,-145.654277777778,90.3,0.01,51.0,AK ,DELTA JUNCTION SEVENTH-DAY ADVENTIST CHURCH                                 
2807,KJCV-FM     ,39.745,-94.7519166666667,89.7,0.01,105.7,MO ,"COMMUNITY BROADCASTING, INC.                                                "
17597,KJKK        ,32.5819444444444,-96.9758333333333,100.3,0.01,506.0,TX ,"AUDACY LICENSE, LLC                                                         "
6146,KJNR        ,60.794,-161.773805555556,91.9,0.01,23.0,AK ,BETHEL UNITED PENTECOSTAL CHURCH                                            
2064,KJPN        ,34.2878055555556,-111.193444444444,89.3,0.01,299.0,AZ ,"GOOD NEWS BROADCASTING NETWORK, INC.                                        "
3173,KJRC        ,44.3283055555556,-103.834638888889,89.9,0.01,485.0,SD ,REAL PRESENCE RADIO                                                         
5641,KJWM        ,40.7288888888889,-98.5705555555556,91.5,0.01,180.0,NE ,"VSS CATHOLIC COMMUNICATIONS, INC.                                           "
10617,KKNN        ,38.87775,-108.225611111111,95.1,0.01,434.0,CO ,"TOWNSQUARE LICENSE, LLC                                                     "
0,KKQA        ,54.135,-165.772777777778,88.1,0.01,-102.0,AK ,"ALEUTIAN PENINSULA BROADCASTING, INC.                                       "
19546,KKQY        ,39.02083333333329,-99.4703888888889,101.9,0.01,303.0,KS ,"EAGLE COMMUNICATIONS, INC.                                                  "
892,KLDX        ,43.0924444444444,-96.1583611111111,88.5,0.01,151.0,IA ,EDUCATIONAL MEDIA FOUNDATION                                                
11528,KLME        ,48.755,-98.3609444444444,95.7,0.01,100.0,ND ,"KNDK, INC.                                                                  "
15881,KMA-FM      ,40.801111111111105,-94.9019166666667,99.1,0.01,299.0,IA ,"KMALAND BROADCASTING, LLC                                                   "
9605,KMAX-FM     ,40.9279166666667,-105.14325,94.3,0.01,146.0,CO ,"TOWNSQUARE MEDIA OF FT. COLLINS, INC.                                       "
14529,KMKE-LP     ,40.7926111111111,-124.175611111111,98.1,0.01,0.0,CA ,"CALIFORNIA, STATE OF                                                        "
15527,KMNA        ,46.4756666666667,-120.14475,98.7,0.01,266.4,WA ,"BUSTOS MEDIA HOLDINGS, LLC                                                  "
7478,KMOY        ,13.4880555555556,144.826388888889,92.7,0.01,165.0,GU ,"MOY COMMUNICATIONS, INC.                                                    "
7329,KMWX        ,32.2765277777778,-99.59425,92.5,0.01,202.0,TX ,"TOWNSQUARE LICENSE, LLC                                                     "
4321,KMZO        ,46.2293611111111,-114.234527777778,90.7,0.01,101.0,MT ,FAITH COMMUNICATIONS CORP.                                                  
1647,KNGM        ,36.6736388888889,-101.469611111111,88.9,0.01,98.0,OK ,"GREAT PLAINS CHRISTIAN RADIO, INC.                                          "
19826,KODC-LP     ,37.7564166666667,-100.017083333333,102.1,0.01,0.0,KS ,KANSAS SACRED HEART RADIO CORPORATION                                       
232,KOFK-FM     ,45.6388055555556,-111.266333333333,88.1,0.01,213.0,MT ,GUILD OF ST. PETER EDUCATIONAL ASSOCIATION                                  
21805,KOSF        ,37.6891055555556,-122.437575,103.7,0.01,364.0,CA ,"IHM LICENSES, LLC                                                           "
814,KOYR        ,33.7303888888889,-91.8156944444445,88.5,0.01,190.0,AR ,SMILE FM                                                                    
15564,KPIH-LP     ,34.2536388888889,-111.3115,98.9,0.01,0.0,AZ ,RIM CATHOLIC EVANGELIZATION ASSOC.                                          
